Brian region,Sensitivity,Specificity,Accuracy
"LIFG, pars triangularis",60.00% (21/35),78.38% (29/37),69.44% (50/72)
Left PCu/SOG,80.00% (28/35),75.68% (28/37),77.78% (56/72)
