ROI,Unnamed: 1_level_0,Region,Region,HPC (vertices),Cluster,Peak,Coordinates MNI,Coordinates MNI,Coordinates MNI,t
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Size (mm2),Vertex,x,y,z,Unnamed: 10_level_1
rCA3,rTLE < HC,L,DLPFC,67 (41) 68 (33) 73 (4) 97 (2),808,218,−35,21,49,−5.54
,,R,DLPFC,70 (13) 68 (5) 98 (1),244,"8,656",18,32,51,−4.45
,,,LTC,132 (18) 176 (9) 177 (8),374,"3,956",63,−17,−21,−5.01
,,,IPC,150 (34) 151 (6),409,"2,358",50,−63,27,−4.47
,,,PVC,1 (34) 4 (12),558,"10,007",21,−101,−12,−4.56
rEC,rTLE > HC,R,ACC,60 (21) 57 (14),259,"4,536",8,7,50,4.59
