References,Autism,Autism,Autism,Autism,Autism,Control,Control,Control,Control,Control,Method,Conclusion
Unnamed: 0_level_1,N (F),Age,VIQ,PIQ,FIQ,N (F),Age,VIQ,PIQ,FIQ,Unnamed: 11_level_1,Unnamed: 12_level_1
Anderson et al. (???),53 (0),22.40 (7.20),101.30 (21.10),101.30 (16.50),/,39 (0),21.10 (6.50),116.00 (14.80),114.20 (13.90),/,Voxel-Based whole brain,↓???
Cheng et al. (???),418 (51),17.17 (7.97),104.50 (15.87),105.30 (15.17),105.7 (14.16),509 (85),16.40 (7.08),111.10 (12.84),107.24 (12.56),110.62 (11.93),Voxel-Based whole brain,↓
Dickinson et al. (???),59 (13),5.79 (2.01),68.96 (34.35),74.67 (33.82),/,39 (13),5.96 (2.22),121.12 (19.42),112.55 (12.07),/,EEG coherence analysis,↓
Dickinson et al. (???),35 (9),12/24 months,/,/,/,20 (11),12/24 months,/,/,/,EEG coherence analysis,↓
Di Martino et al. (???),360 (0),16.30 (7.00),105.00 (16.00),106.00 (15.00),105.00 (16.00),403 (0),16.30 (7.00),111.00 (13.00),108.00 (12.00),111.00 (11.00),Voxel-Based whole brain,↓???
Dinstein et al. (???),29 (/),29 months (/),/,/,/,30 (/),28 months (/),/,/,/,ROI analysis,↓???
Guo et al. (???),105 (0),10.15 (1.26),/,/,110.53 (17.42),102 (0),10.02 (1.38),/,/,113.78 (11.98),Sliding-Window FC analysis,↓
Hahamy et al. (???),68 (6),26.6 (1.87),105.79 (7.28),108.42 (6.35),107.76 (7.56),73 (14),25.82 (2.02),113.27 (2.95),111.67 (2.62),114.14 (2.48),Voxel-Based whole brain,↓ and ↑???
Keehn et al. (???),27 (/),3/6/9/12 months,/,/,/,37 (/),3/6/9/12 months,/,/,/,fNIRS ROI analysis,↓
King et al. (???),579 (373),15.1 (6.9),105.70 (17.93),105.18 (17.06),106.05 (16.79),823 (463),15.1 (6.8),113.85 (13.48),109.43 (13.64),113.03 (12.53),ROI analysis,↓???
Lazarev et al. (???),14 (0),9.70 (2.20),91.00 (27.50),94.30 (20.40),91.40 (22.80),19 (0),10.10 (3.46),/,/,/,EEG coherence analysis,↓
Lee et al. (???),458 (54),16.2 (7.4),/,/,106.0 (16.3),517 (90),16.50 (7.30),,/,111.20 (12.40),Voxel-Based whole brain,↓
Li et al. (???),409 (47),17.42 (8.56),105.20 (18.10),106.27 (16.81),106.72 (16.65),455 (72),17.35 (7.76),111.48 (13.53),108.17 (13.46),111.45 (12.55),Voxel-Based whole brain,↓???
Yao et al. (???),146 (25),8.48 (1.07),107.80 (19.37),107.27 (20.15),106.03 (19.40),175 (47),8.62 (0.84),115.09 (15.89),109.35 (15.40),114.43 (13.40),Voxel-Based whole brain,↓???
Zhu et al. (???),10 (0),9.00 (1.30),/,/,/,10 (0),8.90 (1.40),/,/,/,fNIRS ROI analysis,↓
