SFS,p-Value (Method in [???]),p-Value (fSIG)
Social Engagement,8.48 × 10−1 *,9.46×10−2*
Interpersonal Communication,8.00 × 10−5,5.71×10−5
Independence /Competence,1.41 × 10−1 *,2.57×10−3
Recreation Performance,5.51 × 10−2 *,4.41×10−5
Independence/Performance,1.94 × 10−2,4.88×10−5
Prosocial Performance,3.17 × 10−3,7.57×10−6
Occupation/Employment,2.49 × 10−1 *,1.71×10−3
