BACS,p-Value (Method in [???]),p-Value (fSIG)
List Learning,6.23×10−3,1.61×10−3
Digit Sequencing,2.43×10−6,5.98×10−6
Token Motor,4.19×10−2,3.43×10−3
Verbal Fluency,8.87×10−4,1.60×10−2
Symbol Coding,1.09×10−2,9.67×10−3
Tower of London,2.00×10−4,1.64×10−4
