Brain region,BA,Cluster size,Peak coordinates,Peak coordinates,Peak coordinates,T,z
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1,Unnamed: 7_level_1
Right brainstem/midbrain,–,98,10,−12,−20,6.66,4.48
Right superior lateral occipital cortex/angular gyrus,19/39,91,40,−70,24,6.66,4.47
