Characteristics,FEDN (N = 100),NC (N = 100),t/χ2,p
Age (years),29.46 ± 9.34???,29.59 ± 10.33,−0.09,.93???
Gender (F/M),34/66,41/59,1.05,.31???
Education (years),12.46 ± 3.22???,12.88 ± 2.77,−0.09,.32???
Duration (months),8.64 ± 10.86???,,,
HDRS‐17,22.15 ± 3.18???,,,
