Unnamed: 0_level_0,LP (L)—PPC (R),LP (L)—PPC (R),PCC—PPC-(R),PCC—PPC-(R)
Unnamed: 0_level_1,F value,p-value,F value,p-value
BIS-11,6.06,0.0008,6.56,0.0004
BAS total,4.74,0.004,5.26,0.002
BIS,4.83,0.004,5.36,0.002
