Clusters,Brain regions (AAL template),The number of voxels,Peak r value,Peak MNI coordinate [x y z]
1,Parahippocampal gyrus,23,0.7,36 -27 -24
2,Left middle frontal gyrus (DLPFC),27,0.66,-51 36 3
3,Left precuneus (PCC),38,0.88,-15 -72 15
4,Right precuneus (PCC),87,0.82,15 -66 15
5,Right middle frontal gyrus (DLPFC),44,0.72,48 39 24
6,Right angular gyrus,49,0.83,36 -57 30
