Unnamed: 0,CD-RISC,RS,BRS
M (SD),28.88 (4.73),71.37 (10.06),3.72 (.73)
min–max,18–38,21–87,1.83–5.00
α (95% CI),.70 (.56–.81),.85 (.79–.91),.82 (.73–.89)
