Unnamed: 0,Unnamed: 1,HALFpipe,C‐PAC,fMRIPrep MRIQC FitLins,Conn toolbox,XCP toolbox,DPARSF DPABI
Quality assessment,Quality metrics,Yes,Yes,Yes,Yes,Yes,Yes
Quality assessment,Visual quality assessment,Yes,Yes,Yes,Yes,Yes,Yes
Features,Task‐based activation,Yes,No,Yes,No???,Yes,No
Features,Seed‐based connectivity,Yes,Yes,No,Yes,Yes,Yes
Features,Dual regression,Yes,Yes,No,Yes,No,Yes
Features,Atlas‐based connectivity matrix,Yes,Yes,No,Yes,Yes,Yes
Features,ReHo,Yes,Yes,No,Yes???,Yes,Yes
Features,fALFF,Yes,Yes,No,Yes,Yes,Yes
Features,Group statistics,Yes,Yes,Yes,Yes,No,Yes
