Unnamed: 0,Example 1,Example 2
Path template,data/{subject}/bold_rest.nii.gz,data/subject{subject}/bold_{task}.Nii.Gz
Matches these files,data/subject01/bold_rest.nii.gzdata/subject02/bold_rest.nii.gzdata/subject03/bold_rest.nii.gzdata/phantom/bold_rest.nii.gz,data/subject01/bold_rest.nii.gzdata/subject02/bold_rest.nii.gzdata/subject03/bold_rest.nii.gzdata/subject01/bold_task.nii.gz
Does not match,Data/subject01/bold_task.Nii.GzData/subfolder/subject01/bold_rest.nii.gz,data/phantom/bold_rest.nii.gzdata/subfolder/subject01/bold_rest.nii.z
