SEED,Functionally connected region,T,p-cluster,k,"[x,y,z]"
Parietal inf R,Temporal inf L,5.05,0.005,30.0,[-48 -18 -36]
Parietal sup R,Calcerine R,5.44,0.001,49.0,[22 -66 04]
,Precuneus R,5.02,0.005,30.0,[12 -66 30]
,Insula R,4.16,0.009,26.0,[36 20 06]
Temporal sup L,No functional connectivity,,,,
Frontal mid L,Parahippocamp L,4.99,0.038,15.0,[-12 -04 -36]
