Variable,B,SE B,β,T,p
Step 1,,,,,
ApoE,0.56,0.28,0.057,0.19,0.84
Age,−0.14,0.09,−0.20,−1.64,0.11
Gender,1.47,0.76,0.15,1.90,0.06
Education,0.18,0.12,0.22,0.96,0.34
Step 2,,,,,
ApoE,0.09,0.28,0.04,0.31,0.76
Age,−0.12,0.08,−0.18,−1.45,0.15
Gender,1.61,0.75,0.28,2.14,0.04
Education,0.08,0.12,0.09,0.72,0.47
PRS,−6093.3,2815.3,−0.27,−2.15,0.04
