Unnamed: 0,Regions of interest,Cluster size (mm3),Peak P-value,MNI (x y z),MNI (x y z).1,MNI (x y z).2,Description,Significance after false discovery rate
SIVD vs. AD,N.S.,−,−,,,,−,−
SIVD vs. NC,"Middle frontal gyrus, Rt",270,2.3 × 10−4,39,51.0,15.0,SIVD < NC,−
,"Anterior cingulate gyrus, Lt",135,2.0 × 10−4,−12,21.0,30.0,SIVD < NC,
AD vs. NC,"Superior frontal gyrus, orbital part Middle frontal gyrus, orbital part Inferior frontal gyrus, pars orbitalis, Rt",351,1.1 × 10−4,24,45.0,12.0,AD > NC,−
