Insula subregion,SS,F,p,Effect size (η²p)
L dorsal anterior,3777,6.75,0.012a,0.133
R dorsal anterior,1641,5.08,0.029a,0.104
L ventral anterior,1301,2.27,0.139,0.049
R ventral anterior,854,2.17,0.148,0.047
L posterior,490,1.21,0.278,0.027
R posterior,538,1.82,0.184,0.04
