Hormone,Menstrual phase,Menstrual phase
Unnamed: 0_level_1,Late FP,Mid-LP
"Estradiol, pg/ml",4.52 ± 2.50,6.27 ± 3.66
"Progesterone, pg/ml",28.10 ± 33.39,170.33 ± 130.38
