Unnamed: 0,Brain Regions,"MNI (x,y,z)",Cluster Size (Voxels),T Value,p Value
Patients > HCs,Patients > HCs,Patients > HCs,Patients > HCs,Patients > HCs,Patients > HCs
dALFF,B SMA,"21, 0, 75",45,3.96,8.495 × 10−5
Patients < HCs,Patients < HCs,Patients < HCs,Patients < HCs,Patients < HCs,Patients < HCs
dALFF,R cerebellum,"12, −90, −27",53,−4.64,7.315 × 10−6
