Method,Window size,Window overlap,Number of bins,Max. delay
BcorrU1,130,–,–,–
BcorrU2,50,0.2,–,–
BcorrD1,130,–,–,5
BcorrD2,50,0.2,–,5
BH2U1,130,–,10,–
BH2U2,50,0.2,10,–
BH2D1,130,–,10,5
BH2D2,50,0.2,10,5
BMITU1,130,–,5,–
BMITU2,50,0.2,5,–
BMITD1,130,–,5,5
BMITD2,50,0.2,5,5
BTEU1,130,–,–,5
BTEU2,50,0.2,–,5
BTED1,130,–,–,5
BTED2,50,0.2,–,5
