Unnamed: 0,Controls,MCI,AD
Number,26,16,14
Age,"62.38 [50, 73]","70 [55, 78]","71 [61, 78]"
Sex,"10 f, 16 m","7 f, 9 m","7 f, 7 m"
Years of education,"15.3 [8, 25]","12.75 [8, 21]","12.83 [7, 18]"
