Unnamed: 0_level_0,Minimal number of,Number of,Threshold T of Pearson
Method,voxels per cluster p,clusters k,correlation coefficient
ward1,10,"5,000",–
ward2,25,"5,000",–
ward3,10,"2,000",–
ward4,25,"2,000",–
RGS1,55,–,0.75
RGS2,50,–,0.75
atlas,–,–,–
