Unnamed: 0_level_0,Training dataset,Training dataset,Training dataset,Testing dataset,Testing dataset,Testing dataset,Removal of Siblings,Removal of Siblings,Unnamed: 9_level_0,Unnamed: 10_level_0
Structure,AUC (p),nTotal (nWG),AUC (p).1,AUC (p),n,AUC(p),AUC(p),nTotal (nWG),# of brain features,# of covariate features
WS vs. WG,0.82 (<0.0001),652 (136),0.78 (<0.0001),0.78 (<0.0001),157 (36),0.77(<0.0001),0.77(<0.0001),148 (34),19,7
