Unnamed: 0,Brain regions,"Peak MNI coordinates, xyz",BA,T-value
Increased,SMA,0 –3 72,6,6.1
FCS,Right medial temporal lobe,57 –45 –6,21,4.15
Decreased FCS,Right superior parietal lobule,21 –60 60,7,4.92
