IC,AAL region (L/R),Voxel size,"MNI coordinate (x,y,z)"
IC7 (default mode network),Superior temporal (R),41,"54, −51, 21"
IC33 (default mode network),Frontal superior medial gyrus (L),80,"−6, 45, 45"
IC25 (frontoparietal network),Orbit inferior frontal (L),77,"−45, 36, −15"
IC26 (central executive network),Triangle inferior frontal (R),126,"54, 24, 15"
