Unnamed: 0,Age(years),Female/Male,ALM(OD),ALM(OS)
HM,26.235 ± 0.462,48/41,26.670 ± 0.874,26.580 ± 0.985
HCs,25.783 ± 0.102,35/24,23.900 ± 0.971,23.740 ± 0.693
