"Cluster (x,y,z)",Region,Size,p-FDR,p-uncorrected
+ 48 + 34 + 20,Frontal pole right,102,0.008,0.0004
− 22 + 06 + 62,Superior frontal gyrus left,100,0.008,0.0004
− 34 − 46 + 62,Superior parietal lobule left,75,0.02,0.0016
+ 14 + 02 + 42,Anterior mid cingulate cortex,68,0.022,0.0024
