"Cluster (x,y,z)",Region,Size,p-FDR,p-uncorrected
+ 20 − 44 − 06,Lingual gyrus right,55,0.002,2e-05
+ 18 − 96 − 06,Occipital pole right,40,0.009,0.00015
− 44 + 16 − 08,Insular cortex left,33,0.017,0.00043
