Coordinates,Brain region,Contrast,P-value,T-value
−30 48 −6,LO-MFG,LDH-pre vs. HCs,<0.0001,−7.561002.297216−3.53306
−30 48 −6,,LDH-pos vs. LDH-pre,0.0299,−7.561002.297216−3.53306
−30 48 −6,,LDH-pos vs. HCs,0.0009,−7.561002.297216−3.53306
