Seed region,Connected regions,Voxel size,"Peak (MNI,x,y,z)",Peak T-value,P- value
LO-MFG (−30 48 −6),Fusiform_L,10,"−36, −72, −15",-2.5631,0.0132
,Frontal_Inf_Orb_L,37,"−39, 33, −3",3.3115,0.0017
,Precuneus_L,10,"0, −60, 54",2.833,0.0065
