Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Average connectivity change Fisher’s z,Average connectivity change Fisher’s z,Cohen’s d (change within groups),Cohen’s d (change within groups)
Brain region,L/R,"MNI (x,y,z)",F,p value*,VOF,NOC,VOF,NOC
Medial prefrontal cortex,L,"−1, 64, −4",27.32,< .001,−.15,.17,−.76,.74
Uncus/amygdala,L,"−20, −6, −27",14.81,< .001,.08,−.16,.51,−.80
Posterior insula,R,"46, −9, 9",16.05,< .001,.11,−.10,.84,−.64
Superior temporal gyrus,R,"52, −12, 9",17.55,< .001,.12,−.15,.66,−.70
