Behavioral measure,Seed,Cluster peak location,Association,Cluster size (voxels),Cluster size p???,Cluster peak (MNI),Cluster peak (MNI),Cluster peak (MNI),Peak t,Peak p???,R2
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,x,y,z,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
C-PhAT,r. IFG,l. MFG/FP (BA 45),Positive,98,0.014,−40,48,18,8.26,5e-06,0.87
STS-SRT,l. IFG,l. PG (BA 6),Negative,102,0.016,−18,−28,66,6.06,6e-05,0.75
