Apathetic FTD > HC,Apathetic FTD > HC.1,Apathetic FTD > HC.2,Apathetic FTD > HC.3
Seed,Targets,T-score,p-FDR
Planum polare left,Precentral gyrus right,−4.5,0.015
,Postcentral gyrus right,−4,0.041
Apathetic PD > HC,Apathetic PD > HC,Apathetic PD > HC,Apathetic PD > HC
Seed,Targets,T-score,p-FDR
Planum polare left,Postcentral gyrus right,−4.2,0.016
,Precentral gyrus right,−3.7,0.021
