Unnamed: 0_level_0,Unnamed: 1_level_0,Functional connectivity of DMN,Functional connectivity of DMN,Functional connectivity of DMN,NBR of DMN regions,NBR of DMN regions
Unnamed: 0_level_1,Unnamed: 1_level_1,Attending Visual,Attending Audio,Resting State,Attending Visual,Attending Audio
Functional connectivity of DMN,Attending Visual,,0.597,0.606,0.407,0.38
Functional connectivity of DMN,Attending Audio,0.597,,0.495,0.396,0.373
Functional connectivity of DMN,Resting State,0.606,0.495,,0.42,0.384
NBR of DMN,Attending Visual,0.407,0.396,0.421,,0.567
NBR of DMN,Attending Audio,0.38,0.374,0.384,0.568,
