Unnamed: 0_level_0,Visual Attending,Visual Attending,Visual Attending,Resting State,Resting State,Resting State,Differences,Differences,Differences
Unnamed: 0_level_1,Medial Orbito Frontal,Right Angular Gyrus,Left Angular Gyrus,Medial Orbito Frontal,Right Angular Gyrus,Left Angular Gyrus,Medial Orbito Frontal,Right Angular Gyrus,Left Angular Gyrus
Posterior Cingulate,0.721 ± 0.118,0.657 ± 0.129,0.664 ± 0.128,0.766 ± 0.083,0.713 ± 0.083,0.673 ± 0.166,"−0.046 ± 0.1 t = −1.31, P < 0.197","−0.056 ± 0.106 t = −1.511, P < 0.138","−0.01 ± 0.147 t = −0.21, P < 0.835"
Medial Orbito Frontal,,0.546 ± 0.187,0.551 ± 0.151,,0.616 ± 0.118,0.631 ± 0.145,,"−0.071 ± 0.153 t = −1.307, P < 0.198","−0.08 ± 0.148 t = −1.658, P < 0.105"
Right Angular Gyrus,,,0.678 ± 0.126,,,0.733 ± 0.143,,,"−0.055 ± 0.135 t = −1.291, P < 0.204"
