Brain region,Δ = 5,Δ = 10,Δ = 15,Δ = 20
L hippocampus,2.1004e−11,2.4801e−9,1.1422e−22,2.5488e−32
R hippocampus,8.1161e−13,2.5102e−10,1.1084e−9,1.1100e−9
L amygdala,6.3835e−14,1.3560e−9,1.1609e−9,1.1102e−9
R amygdala,3.3875e−10,5.0045e−7,1.4108e−7,3.0545e−7
