Seeds,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size (voxels),Cluster size (mm3),p FDR corrected,Main region,Additional region(s)
Seeds,x,y,z,Cluster size (voxels),Cluster size (mm3),p FDR corrected,Main region,Additional region(s)
Left amygdala,−56,−72,−6,170,4590,0.002,Left Lateral Occipital Cortex,Left Inferior Temporal and Middle Temporal Gyri
Left amygdala,−4,36,52,194,5238,0.002,Left Superior Frontal Gyrus,Left Frontal Pole
"Right dlPFC, BA 46",12,36,−34,143,3861,0.008,Right Frontal Pole,Frontal Medial and Right Frontal Orbital Cortices
Right OFC,0,−76,36,235,6345,<0.001,Precuneus,"Right Cuneal, Right Intracalcarine, Left Cuneal, and Supracalcarine Cortices"
Right OFC,−2,44,−2,100,2700,0.04???,Left Paracingulate Gyrus,Anterior Cingulate and Right Paracingulate Gyri
