Seed region,"ROI (x, y, z)",Cluster p ‐value (FDR)
PCC (DMN),"MPFC (1, 55, –3)",.0037???
PCC (DMN),"LP (L) (–37, –77, 33)",.54
PCC (DMN),"LP (R) (47, –67, 29)",.54
ACC (SN),"AI (L) (–44, 13, 1)",.028???
ACC (SN),"SMG (L) (–60, –39, 31)",.075
ACC (SN),"SMG (R) ( 62, –35, 32)",.11
ACC (SN),"AI (R) (47, 14, 0)",.11
ACC (SN),"RPFC (L) (–32, 45, 27)",.90
ACC (SN),"RPFC (R) (32, 46, 27)",.93
