Seed ROI,Target ROI,T-statistics,p(FDR)
Left aHipp,Left aICRight aIC,T(58) = 4.69T(58) = 2.47,p-FDR = 0.0004p-FDR = 0.0396
Left aHipp,Right pICLeft pIC,T(58) = 2.99T(58) = 2.82,p-FDR = 0.0135p-FDR = 0.0189
Left aHipp,Right TPLeft TP,T(58) = 3.96T(58) = 2.46,p-FDR = 0.0027p-FDR = 0.0396
Left aHipp,Right lOFCLeft lOFCRight pSTG,T(58) = 3.03T(58) = 2.01T(58) = 3.49,p-FDR = 0.0135p-FDR = 0.0900p-FDR = 0.0082
Left aHipp,Left pSTG,T(58) = 3.17,p-FDR = 0.0125
Left aHipp,Left pMTG,T(58) = 2.41,p-FDR = 0.0418
Left aHipp,Right precuneusLeft precuneus,T(58) = 3.26T(58) = 2.28,p-FDR = 0.0121p-FDR = 0.0522
Left aHipp,Left SMG,T(58) = -2.99,p-FDR = 0.0135
Right aHipp,Right aICLeft aIC,T(58) = 2.70T(58) = 2.00,p-FDR = 0.0391p-FDR = 0.1080
Right aHipp,Left TPRight TP,T(58) = 2.97T(58) = 2.36,p-FDR = 0.0246p-FDR = 0.0581
Right aHipp,Right lOFC,T(58) = 2.39,p-FDR = 0.0581
Right aHipp,Left pSTGRight pSTG,T(58) = 2.94T(58) = 2.49,p-FDR = 0.0246p-FDR = 0.0581
Right aHipp,Left pMTG,T(58) = 3.49,p-FDR = 0.0242
Right aHipp,Left pITG,T(58) = 3.19,p-FDR = 0.0246
Right aHipp,Right precuneusLeft precuneus,T(58) = 2.35T(58) = 2.21,p-FDR = 0.0581p-FDR = 0.0728
Right aHipp,Left SMG,T(58) = −2.97,p-FDR = 0.0246
Left pHipp,Right lOFC,T(58) = 2.72,p-FDR = 0.0742
Left pHipp,Right precuneus,T(58) = 2.78,p-FDR = 0.0742
Left pHipp,Right pSTG,T(58) = 3.18,p-FDR = 0.0615
Left pHipp,Left pMTG,T(58) = 2.49,p-FDR = 0.0845
Left pHipp,Right angular gyrus,T(58) = 2.48,p-FDR = 0.0845
Left pHipp,vmPFC,T(58) = −2.18,p-FDR = 0.1428
Right pHipp,Right lOFC,T(58) = 2.19,p-FDR = 0.1421
Right pHipp,Right precuneus,T(58) = 2.96,p-FDR = 0.0562
Right pHipp,Right pSTG,T(58) = 2.62,p-FDR = 0.0725
Right pHipp,Right angular gyrus,T(58) = 2.82,p-FDR = 0.0562
Right pHipp,Left postcentral gyrus,T(58) = −2.37,p-FDR = 0.1086
Right pHipp,Left SMG,T(58) = −2.88,p-FDR = 0.0562
