Brain Region,Cluster size,T-statistics,p(FDR),MNI Coordinates (mm)
R. TP/R. pIC,472,T(58) = 5.11,0.001454,+36–2 −8
L. aIC,281,T(58) = 5.55,0.011783,−38 + 8–8
