MNI coordinates of target ROIs,MNI coordinates of target ROIs
Brain Region,Coordinates(mm)
left anterior insula (aIC),[–39 7 –8]
right anterior insula (aIC),[37 13 –13]
left posterior insula (pIC),[–39 –6 −6]
right posterior insula (pIC),[39 –6 −6]
left temporal pole (TP),[–47 14 –14]
right temporal pole (TP),[49 5 –6]
left lateral orbitofrontal cortex (lOFC),[–29 21 –19]
right lateral orbitofrontal cortex (lOFC),[35 22 –17]
left periaqueductal gray (PAG),[–5 –26 −12]
right periaqueductal gray (PAG),[5 –29 −14]
right anterior superior temporal gyrus(aSTG),[59 –8 −5]
right posterior superior temporal gyrus(pSTG),[61 –32 10]
left posterior superior temporal gyrus(pSTG),[–60 –34 14]
right posterior middle temporal gyrus(pMTG),[61 –33 −10]
left posterior middle temporal gyrus(pMTG),[–60 –48 7]
left posterior inferior temporal gyrus(pITG),[–54 –48 −15]
right angular gyrus,[51 –48 22]
left postcentral gyrus,[–43 –24 60]
left supramarginal gyrus (SMG),[–55 –24 50]
"left precuneus, A7m, medial area 7(PEp)",[–6 –68 49]
"right precuneus, A7m, medial area 7(PEp)",[6 –62 46]
ventromedial prefrontal cortex (vmPFC),[–3 40 0]
