Brain regions,MNI coordinate,MNI coordinate.1,MNI coordinate.2,Cluster size,Peak t-value
,X,Y,Z,,
SFGmed.L,−9,42,27,26.0,−5.47
LING.L,−15,−42,−3,63.0,−6.60
PUT.L,−21,15,3,64.0,−6.38
PUT.R,21,15,6,17.0,−5.16
