ROI,Brain regions,MNI coordinate,MNI coordinate.1,MNI coordinate.2,Cluster size,Peak t-values
,,X,Y,Z,,
SFGmed.L,SFGdor.L,−21,27,60,45.0,−5.45
LING.L,PHG.L,−24,−42,−3,181.0,−8.03
,INS.L,−36,−21,18,138.0,−5.61
PUT.L,CAU.R,21,12,9,101.0,−6.02
PUT.R,PUT.L,−27,3,12,195.0,−6.59
,CAU.R,21,9,12,191.0,−6.28
