C,B,MNI,MNI.1,MNI.2,Loc
1.0,θ,−54,−32,−1,T2
,θ,−52,−46,−12,T3
,α,−47,−58,34,AG
,α,−32,−51,−13,Fus
,α,−65,−27,1,T2
,β,−49,−26,17,T1
2.0,β,−45,13,25,F3tr
,Low γ,−47,12,22,F3op
,Low γ,−41,−7,−4,Ins
,Low γ,−45,7,36,PrC
3.0,β,6,26,17,ACC(R)*
,Low γ,45,−8,6,Ins(R)
4.0,α,−6,−32,37,PCC*
,α,6,−37,40,PCC(R)*
