Unnamed: 0,t,p
SRS,SRS,SRS
Positive correlation:,,
dACC (SN) – rAI (SN),3.19,0.049
Negative correlation:,,
dACC (SN) – lLatPar (DMN),−3.69,0.025
,,
NGSES,NGSES,NGSES
Positive correlation:,,
dACC (SN) – rAI (SN),3.53,0.040
