Unnamed: 0,Random Forest,SVM,Naïve Bayes,Neural network
Accuracy,0.808,0.71,0.75,0.68
Sensitivity,0.849,0.72,0.77,0.7
Specificity,0.792,0.67,0.71,0.64
AUC,0.819,0.73,0.73,0.67
