Series,AAL Template,Mean t value,Mean p value
32,Right anterior cingulate cortex,-0.387,0.039
38,Right hippocampus,0.665,0.037
63,Left supramarginal gyrus,-1.99,0.031
71,Left caudate nucleus,-1.815,0.013
72,Right caudate nucleus,0.3,0.01
77,Left thalamus,-0.706,0.025
78,Right thalamus,-1.615,0.024
