Unnamed: 0_level_0,Copying score,Copying score,Creating score,Creating score
Unnamed: 0_level_1,r,p,r,p
Onset age of practice,-0.627,0.0,-0.347,0.041
Yeas of practice,0.39,0.021,0.164,0.346
