Unnamed: 0,MI-NF,VI
Total time spent (min),320.8 ± 123.3 (110–540),323.5 ± 84.5 (192–528)
Imagery difficulty,3.2 ± 1.3 (0.9–6.2),3.0 ± 1.3 (0.4–5.4)
Imagery vividness,7.1 ± 1.1 (5.3–9.1),7.3 ± 1.3 (4.7–9.6)
Positive emotions (%),75.8 ± 12.3 (53–97),90.2 ± 11.3 (61–100)
