Measure,Definition for Undirected Graph,Definition for Directed Graph
(Out)-degree (ki),∑j∈Naij,∑j∈Naij
In-degree (kiin),/,∑j∈Naji
Shortest path length (dij),"∑ auv, auv ∈ gi↔j","∑ auv, auv ∈ gi→j"
Number of triangles (ti),"12 ∑j,haijaihajh","12 ∑j,h (aij + aji)(aih + ahi)(ajh + ahj)"
Global efficiency (E),"1N ∑i∈NEi = 1N ∑i∈N∑j∈N,j≠idij−1N−1","1N ∑i∈NEi = 1N ∑i∈N∑j∈N,j≠idij−1N−1"
Local efficiency (Eloc),"1N ∑i∈N∑i,j∈N,j≠haijaihdjh−1Nikiki−1","12N ∑i∈N∑i,j∈N,j≠haij+ajiaih+ahidjh−1Ni+dhj−1Nikiout+kiinkiout+kiin−1−2∑jaijaji"
Clustering coefficient (C),1N ∑i∈N2tikiki−1,1N ∑i∈Ntikiout+kiinkiout+kiin−1−2∑jaijaji
Transitivity (T),∑i∈N2ti∑i∈Nkiki−1,∑i∈Ntikiout+kiinkiout+kiin−1−2∑jaijaji
Modularity (Q),∑u∈M [euu − (∑v∈Meuv)]2,∑u∈M [euu − (∑v∈Meuv)]2
