Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,MNI coordinates,MNI coordinates,MNI coordinates
Group,Time of fMRI,Change trend,Brain region,Location,X,Y,Z
Rec,T2,Increased,Gyrus rectus,L,0,48,−21
Unrec,T1,Decreased,Temporal pole,L,48,18,−18
,T1,Decreased,Insula,R,24,12,−12
,T1,Decreased,Caudate,R,9,3,−3
,T1,Decreased,Supramarginal gyrus,R,45,−18,15
,T1,Decreased,Cingulum_ant,L,−6,21,18
Unrec,T2,Decreased,Insula,L,−27,24,−6
,T2,Decreased,Pallidum,R,28,−6,−3
,T2,Decreased,Inferior parietal lobule,L,−60,−33,27
,T2,Decreased,Inferior parietal lobule,R,60,−18,27
,T2,Decreased,Precentral gyrus,R,51,6,36
,T2,Decreased,Cingulum_mid,R,6,15,36
