Brain region,X (mm),Y (mm),Z (mm),Size (voxels),T value
A,A,A,A,A,A
Middle frontal gyrus L,−33,48,27,56,−6.28
Middle frontal gyrus R,30,51,27,47,−5.65
Medial frontal gyrus L,−6,45,3,10,4.82
B,B,B,B,B,B
Caudate nucleus R,12,15,9,10,5.45
