Network characteristics,Cohort 1,Cohort 2,Cohort 3
Network diameter,3.0,3.0,4.0
Modularity,0.304,0.286,0.426
Mean path length,1.769,1.75,2.033
Reciprocity,0.618,0.63,0.668
Graph density,0.285,0.32,0.22
