Unnamed: 0_level_0,Training,Training,Training,Test,Test,Test,Unnamed: 7_level_0,Training,Training,Training,Test,Test,Test
Unnamed: 0_level_1,T1,T2,T3,T1,T2,T3,Unnamed: 7_level_1,T1.1,T2.1,T3.1,T1.1,T2.1,T3.1
Total,130,108,107,30,27,23,Total,130,108,107,30,27,23
PTSD,92,30,23,23,9,6,B,105,55,35,23,13,9
,,,,,,,C,97,47,32,22,14,8
,,,,,,,D,90,48,20,25,9,8
,,,,,,,E,96,55,43,22,15,9
(a),(a),(a),(a),(a),(a),(a),(b),(b),(b),(b),(b),(b),(b)
