Brain region,"MNI peak coordinates, x, y, z",T value,"Cluster size, voxels"
"Precentral, right","33, 3, 30",5.7908,1275
"Occipital middle, left","−18, −93, −3",8.6922,195
"Calcarine, right","21, −87, 0",7.5804,239
"Calcarine, right","24, −45, 6",−10.4017,219
"Precuneus, left","−24, −51, 6",−8.237,824
"Frontal superior medial, right","12, 39, 45",4.768,174
