Brain region,"MNI peak coordinates, x, y, z",T value,"Cluster size, voxels"
"Temporal middle, right","54, −12, −24",9.4622,764
"Cuneus, right","12, −75, 24",10.0292,589
"Precentral, right","54, 6, 30",10.5227,1171
"Occipital middle, left","−18, −96, −3",8.4587,104
"Frontal inferior orbital, left","−24, 30, −9",−8.5721,524
"Frontal superior, left","−21, 63, 27",−11.7932,962
"Frontal superior, right","27, 51, 45",−10.6559,437
"Precuneus, left","0, −75, 48",−7.244,218
