FC Measure,C 1,C 2,C 3,C 4,C 5,C 6,C 7,C 8,C 9,C 10
Pearson’s Correlation,0.013,0.031,0.197*,0.042,0.051,0.001,0.036,0.233*,0.091,0.109†
Cross-correlation,0.024,0.027,0.072,0.073,0.103†,0.081,0.043,0.011,0.106†,0.208*
Coherence,0.001,0.002,0.002,0.001,0.000,0.0,0.025,0.001,0.074,0.002
Wavelet coherence,0.069,0.0,0.021,0.009,0.060,0.026,0.145*,0.017,0.006,0.022
Mutual information,0.023,0.02,0.001,0.016,0.019,0.014,0.015,0.051,0.018,0.006
Euclidean,0.023,0.068,0.009,0.059,0.019,0.023,0.072,0.011,0.012,0.055
Cityblock,0.031,0.014,0.013,0.027,0.007,0.022,0.031,0.001,0.024,0.055
DTW,0.012,0.009,0.005,0.005,0.007,0.031,0.023,0.014,0.032,0.012
EMD,0.002,0.006,0.022,0.004,0.015,0.0,0.004,0.001,0.110†,0.045
