Unnamed: 0,Original Brain Configuration Composite FC ~ Verbal Fluency,Alternative Brain Reconfiguration Composite FC ~ Verbal Fluency
R2,0.495,0.606
p-value,0.026*,0.0014*
Measures Selected,Coherence: Wavelet Coherence*,Dynamic Time Warping*
Measures Selected,Mutual Information*,Euclidean*
Measures Selected,Dynamic Time Warping*,Pearson’s Correlation: Earth mover’s distance
Measures Selected,Euclidean*,Cityblock
Measures Selected,Cross-correlation,Pearson’s Correlation
Measures Selected,Wavelet Coherence,Earth mover’s distance
Measures Selected,Coherence,
