Unnamed: 0,NC (n = 205),SZ (n = 140),T(χ2),p
Sex(Male/Female),110/95,95/45,6.378,0.012
Age,32.51 ± 8.39,34.22 ± 8.23,−1.870,0.062
Years of Education,12.84 ± 2.83,10.69 ± 3.32,6.260,< 0.001
PANSS-PScore,–,23.14 ± 5.25,–,–
PANSS-NScore,–,22.53 ± 7.48,–,–
PANSS-GScore,–,39.88 ± 9.59,–,–
PANSS-TScore,–,85.55 ± 18.55,–,–
