Sequence,TE(ms),TR(ms),Gap(mm),Thickness(mm),FOV(mm2),FA,AM,VS(mm3)
T1WI,3.3,8.5,0.0,1.0,240×240,12°,256×256,–
BOLD,25.0,2000.0,1.2,3.0,240×240,90°,64×64,3.6×3.6×3.6
