Brain Areas,MNI Coordinates,MNI Coordinates,MNI Coordinates,Voxels,BA,Peak T Values
Brain Areas,x,y,z,Voxels,BA,Peak T Values
One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA
Right OSFG,12,21,−15,263,-,4.3383
Left OSFG,−24,39,−18,182,-,3.8161
DR vs DM,DR vs DM,DR vs DM,DR vs DM,DR vs DM,DR vs DM,DR vs DM
Right CAL,6,−75,12,248,"17,18",7.2358
DM vs HC,DM vs HC,DM vs HC,DM vs HC,DM vs HC,DM vs HC,DM vs HC
Bilateral CAL,3,−75,9,1566,"17,18",−9.0369
DR vs HC,DR vs HC,DR vs HC,DR vs HC,DR vs HC,DR vs HC,DR vs HC
Bilateral Caudate/Olfactory/OSFG,−24,12,−15,1065,"3,4,6",8.798
Bilateral CAL/ left LING,−9,−81,−12,531,"17,18",−3.9204
