Unnamed: 0,N41,N42,N44,N76,N78,N83
HC,0.19 ± 0.03,0.20 ± 0.03,0.19 ± 0.03,0.19 ± 0.03,0.21 ± 0.04,0.20 ± 0.04
MCI,0.16 ± 0.02,0.17 ± 0.02,0.17 ± 0.03,0.17 ± 0.02,0.19 ± 0.03,0.19 ± 0.03
AD,0.17 ± 0.03,0.18 ± 0.03,0.16 ± 0.03,0.18 ± 0.02,0.18 ± 0.03,0.17 ± 0.02
