Unnamed: 0_level_0,Pearson correlation,Pearson correlation,Pearson correlation,DTW,DTW,DTW,GIG-ICA dominant SS,GIG-ICA dominant SS,GIG-ICA dominant SS
Unnamed: 0_level_1,HC,MCI,AD,HC,MCI,AD,HC,MCI,AD
Global efficiency,0.23 ± 0.02,0.24 ± 0.02,0.23 ± 0.03,0.34 ± 0.03,0.35 ± 0.05,0.33 ± 0.05,0.29 ± 0.03,0.23 ± 0.03,0.28 ± 0.03
Characteristic path length,0.34 ± 0.04,0.33 ± 0.04,0.37 ± 0.04,0.77 ± 0.02,0.76 ± 0.05,0.77 ± 0.02,0.33 ± 0.05,0.34 ± 0.04,0.33 ± 0.04
