Unnamed: 0,N91,N110,N118
HC,0.34 ± 0.05,0.33 ± 0.05,0.33 ± 0.04
MCI,0.33 ± 0.06,0.35 ± 0.05,0.36 ± 0.05
AD,0.29 ± 0.06,0.30 ± 0.07,0.31 ± 0.05
