Unnamed: 0,Node index
Pearson correlation,"41, 42, 44, 76, 78, 83"
DTW,"91, 110, 118"
GIG-ICA,"6, 7, 8, 9, 10, 11, 12, 20, 21, 23, 24, 25, 26, 27, 35, 36, 37, 39, 42, 45, 47, 50, 51, 53, 54, 55, 56, 58, 59, 60, 61, 62, 64, 65, 70, 71, 72, 73, 74, 95, 96, 98, 99, 100, 104, 106, 110, 112, 113, 116, 118, 125"
